,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419922
39,0.498,COM,SubSaharian,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927002
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
14,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736328
154,0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
133,0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522461
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273
170,0.625,TJK,EastEurope,3592.6499,8.131999969482422,49.0,0.31999999,,6.880884170532227
50,0.71799999,DOM,LatAm,10376.63,,22.79999923706055,5.9200001,14.5,4.375777721405029
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
99,0.91100001,LIE,WesternDem,102243.52,,,,,
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
134,0.69199997,PRY,LatAm,4812.9199,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812012
128,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,,1.58,,13.7069149017334
6,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
176,0.72299999,TUN,NorthAfrica,6912.2798,,13.80000019073486,1.39,,7.003858089447022
89,,PRK,EastAsia,1727.8199,,,3.3499999,,
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.5599999,,6.416542530059815
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
52,0.67799997,SLV,LatAm,332.26999,,13.60000038146973,2.52,,6.772402763366699
