corr,filtro,psu,region,p1_1,p1_2,p1_3,p2,p3,p4,p5,p6,p7,p7a,p7t,p8,p8a,p8t,p9,p9a,p9t,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p11_7,p11_8,p11_9,p11_10,p11_11,p11_12,p11_13,p11_14,p11_15,p11_16,p11_17,p11_18,p11_19,p11_20,p11_21,p11_22,p11_23,p11_24,p11_25,p12,p13_a,p13_b,p13_c,p13_d,p13_e,p13_f,p14,p15,p16,p17_a,p17_b,p17_c,p17_d,p17_e,p17_f,p17_g,p17_h,p17_i,p17_j,p17_k,p17_l,p17_m,p17_n,p18_a,p18_b,p18_c,p18_d,p18_e,p19,p20,p21,p22,p23,p24,p25,p26,p27_a,p27_b,p28_a,p28_b,te1,te2_a,te2_b,te2_c,te2_d,te2_e,te2_1,te3_a,te3_b,te3_c,te3_d,te3_e,te3_f,te3_g,te3_h,te3_i,te3_j,te4_a,te4_b,te4_c,te4_d,te5,te6,te7_a,te7_b,te7_c,te7_d,te7_e,te7_f,te7_g,te7_h,te7_i,te7_j,te8,te9_1,te9_2,te9_3,te10_1,te10_2,te10_3,te11_1,te11_2,te11_3,te12,te13,te14,te15,te16,te17,te18,te19_1,te19_2,te19_3,te20_a,te20_b,te21,te22,te23,te24,de1,de2,de2_a,de3,de4,de5,de5_c,de6,de7,de8,de9,de10,de11,de12,de13_a,de13_b,de13_c,de13_d,de13_e,de13_f,de13_g,de13_h,de13_i,de13_j,de13_k,de13_l,de13_m,de13_n,de13_o,de13_p,de14_a,de14_b,de14_c,de14_d,de14_e,de14_f,de15,de16,de17,b5,pond
13,1258,214,13,6,7,9,1,3,2,2,2,1,,1,2,,2,8,3,3,8,6,2,2,6,6,6,6,6,6,5,3,2,2,4,6,2,2,6,2,6,6,6,6,6,4,1,1,1,1,1,1,1,22,13,5,4,4,1,1,4,4,4,2,4,4,4,4,2,3,5,1,7,1,2,2,6,6,2,,,2,8,8,,8,,2,1,8,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,2,4,2,3,4,3,2,4,2,1,3,8,10,,,,88,88,88,2,,,,,,,,,,,,2,1,2,1,2,72,1931-01-15T00:00:00Z,6,6,4,6,9,3,1,8,9,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,4,1,0.746192216873169
14,1259,214,13,6,11,10,2,2,2,9,8,99,9,9,5,5,5,7,9,9,8,6,6,6,6,6,6,6,6,6,3,3,6,3,3,3,2,6,6,6,6,6,6,6,6,6,99,2,1,1,1,1,1,48,25,5,2,4,2,4,4,3,4,2,4,4,4,8,8,2,2,2,2,2,2,3,8,2,,,,8,8,8,,8,,2,8,8,8,1,1,5,1,2,1,1,8,1,1,1,1,1,1,1,1,1,,3,2,4,2,4,3,3,2,3,3,4,2,,,,2,3,4,88,88,88,2,,,,,,,,,,,,8,8,8,8,2,77,1925-07-25T00:00:00Z,6,6,4,6,9,3,1,3,9,1,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,1,3,1,0.746192216873169
15,1261,215,13,7,5,2,3,2,2,8,2,9,7,7,2,,2,2,,2,8,5,4,5,3,3,3,3,4,4,4,4,3,3,3,3,3,6,3,4,4,6,6,6,3,3,2,2,3,2,1,1,1,48,13,4,4,4,4,4,3,3,4,3,4,4,4,2,3,3,4,3,4,2,2,4,6,1,3,3,2,1,1,1,1,8,,2,2,1,2,2,1,5,1,2,2,2,2,2,8,8,1,2,1,2,1,1,5,2,1,3,3,4,2,3,3,2,3,4,1,1,6,9,,,,4,5,3,1,2,14000,1,4,2,1,2,,,1,2,2,1,2,1,1,30,1973-02-10T00:00:00Z,1,14,13,2,1,8,9,5,9,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,8,4,3,1,1.20403659343719
16,1262,215,13,9,11,3,3,2,2,1,1,1,,1,2,,2,1,,1,3,4,4,2,2,4,3,4,2,4,2,2,4,4,5,3,2,2,3,4,2,2,2,2,4,4,1,1,2,1,2,1,2,22,13,2,1,1,1,2,2,2,3,1,3,3,3,3,3,3,3,6,3,1,4,2,6,4,2,5,5,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,4,3,4,2,4,2,1,4,2,1,1,1,2,,,,2,3,4,2,3,8,1,2,7000,2,,3,2,,,,1,1,1,1,3,2,1,73,1929-11-04T00:00:00Z,1,9,6,3,1,5,1,5,9,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,88,5,3,1,1.05536282062531
17,1263,215,13,3,7,10,2,1,1,2,2,9,1,1,3,,3,5,,5,3,5,4,5,6,6,6,6,6,6,3,6,4,3,4,6,4,3,6,3,2,6,6,6,6,2,3,1,1,1,1,1,1,22,13,2,4,1,3,3,3,1,3,3,3,3,3,3,1,1,4,2,3,1,1,4,6,3,5,5,2,2,1,2,,1,1,2,1,1,2,1,1,4,1,2,1,1,2,2,2,2,2,1,1,2,1,1,4,2,4,2,4,3,2,3,2,2,4,2,2,,,,3,7,1,1,3,6,2,,,,,,,,,,,,2,1,2,2,2,24,1978-11-30T00:00:00Z,2,13,7,5,5,1,2,7,9,1,3,2,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,5,3,3,1,1.15786373615265
18,1264,215,13,3,10,7,2,2,2,1,1,7,,7,2,,2,5,,5,2,4,5,3,4,3,3,2,3,4,3,4,3,5,2,2,2,3,2,4,1,3,2,3,2,4,7,3,3,3,3,2,1,48,13,4,4,8,4,4,3,4,3,4,3,3,4,3,2,2,3,1,3,6,5,4,6,6,4,4,6,3,1,2,,1,2,2,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5,1,4,2,4,4,4,2,4,2,4,2,1,1,6,2,,,,3,5,10,2,,,,,,,,,,,,2,1,2,2,2,25,1977-08-03T00:00:00Z,3,16,15,4,5,1,8,6,9,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,11,7,3,1,1.02533006668091
19,1266,216,13,11,7,3,1,2,3,9,9,99,7,7,2,,2,3,,3,3,4,6,5,6,3,3,6,6,6,2,6,6,3,4,6,2,6,6,3,6,6,6,6,6,3,9,1,1,2,1,1,1,30,13,5,3,9,3,3,3,3,4,2,3,4,3,3,2,9,4,3,4,1,5,4,6,4,,,,9,8,8,,8,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,5,2,3,2,2,4,2,4,2,3,2,4,2,,,,7,4,6,10,5,1,1,2,19500,1,2,2,1,2,,,1,1,2,1,2,1,2,30,1973-07-04T00:00:00Z,3,12,11,4,9,1,1,8,5,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,5,4,1,1.02533006668091
20,1267,216,13,3,7,6,2,2,2,9,1,9,9,9,5,5,5,7,7,7,1,3,6,4,6,4,6,6,6,6,4,6,6,4,4,6,2,3,6,3,4,6,2,6,6,6,11,1,1,1,1,1,1,30,13,5,3,3,2,3,3,3,3,3,3,3,2,3,2,3,1,1,5,3,2,4,6,2,2,2,2,8,1,8,,8,,2,1,1,2,1,1,4,1,1,1,1,2,8,1,1,2,1,1,2,1,1,4,3,4,4,2,4,3,2,4,4,4,3,2,,,,5,3,2,4,5,3,1,3,11000,1,3,2,1,2,,,2,1,2,1,2,2,2,40,1962-07-25T00:00:00Z,1,13,7,5,9,6,1,5,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,6,5,4,1,0.78246146440506
21,1268,216,13,10,14,3,2,1,1,1,1,88,88,88,2,,2,3,,3,3,4,4,4,3,3,3,3,3,4,3,4,2,4,4,3,2,6,3,5,3,6,3,6,3,4,11,2,3,2,1,1,1,22,25,4,1,3,2,3,3,3,3,2,2,4,3,3,2,2,5,5,6,5,5,2,8,7,6,6,5,2,9,9,,9,,2,2,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,1,2,2,1,5,1,2,4,2,4,2,4,2,4,3,4,2,,,,3,4,2,4,3,8,1,2,15000,2,,2,1,2,,,1,1,2,1,1,1,2,47,1956-04-13T00:00:00Z,6,12,12,4,1,7,1,3,9,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,2,2,2,2,7,2,4,1,1.0433714389801
22,1269,216,13,6,5,9,3,2,2,2,1,9,9,9,5,5,5,7,7,7,2,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,11,1,1,1,1,1,1,48,25,5,3,3,3,3,3,3,4,2,3,3,3,3,3,3,4,4,4,3,4,4,6,4,4,4,4,3,1,8,,8,,1,1,1,1,1,1,5,8,1,1,1,1,1,1,1,1,1,1,2,2,1,4,3,4,2,4,2,4,4,4,4,4,2,2,,,,7,5,4,1,8,5,1,2,20000,1,4,3,2,,,,2,2,2,1,1,2,1,39,1963-08-15T00:00:00Z,1,13,8,5,1,11,99,99,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,11,4,4,1,1.03771758079529
23,1276,218,13,1,3,5,1,3,2,1,1,7,,7,2,,2,4,,4,3,4,5,5,6,2,6,6,2,4,4,6,4,4,4,6,2,2,6,5,6,6,6,6,2,4,1,1,1,1,1,1,1,37,22,5,3,4,2,4,2,2,2,3,3,4,8,4,2,2,1,1,7,1,4,4,6,6,4,3,3,3,2,1,2,1,1,2,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,8,2,4,1,4,4,2,2,1,10,2,11,,,,3,5,10,1,5,,2,,1,2,,,,1,1,2,1,3,2,2,50,1952-07-20T00:00:00Z,1,8,6,2,9,1,1,3,9,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,5,6,4,1,1.0433714389801
24,1277,218,13,3,5,6,4,1,2,1,1,9,1,1,5,2,2,3,,3,3,4,3,4,6,3,6,6,6,6,4,2,2,4,2,2,3,3,6,3,4,6,6,6,6,3,11,1,1,2,1,1,1,48,9,5,3,4,4,4,3,4,4,4,2,4,4,4,2,3,5,5,6,6,6,4,2,6,4,4,3,3,2,8,,8,,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,1,4,2,4,2,3,4,4,2,4,2,1,1,4,10,,,,1,5,8,1,2,6000,1,2,2,2,,,,1,1,2,1,2,2,1,45,1958-06-08T00:00:00Z,1,8,4,8,1,99,1,6,9,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,99,4,4,1,1.3042163848877
25,1278,218,13,3,7,10,1,2,2,2,2,7,,7,2,,2,5,,5,2,4,2,4,6,2,6,2,4,4,4,2,2,4,4,6,2,6,4,4,2,6,4,6,4,4,7,2,1,1,1,1,1,22,13,4,3,3,2,1,3,3,2,2,3,3,3,2,3,1,6,2,5,3,5,3,6,4,3,6,3,3,1,1,1,2,,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,4,4,2,2,4,2,2,4,2,2,2,,,,2,5,9,3,4,5,2,,,,,,,,,,,,2,1,2,2,1,72,1930-10-14T00:00:00Z,6,3,4,3,8,3,1,8,9,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,88,9,4,1,1.05536282062531
26,1279,218,13,3,7,10,3,1,1,1,1,9,5,5,2,,2,7,4,4,3,5,4,5,4,3,3,3,3,4,4,2,4,4,3,2,3,3,1,4,4,6,4,6,3,3,5,1,2,3,1,1,1,36,20,4,4,3,1,3,3,4,3,1,3,3,3,3,1,2,5,7,5,6,5,2,6,6,5,5,6,3,2,1,2,1,2,3,2,1,2,2,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,3,2,3,2,4,3,3,2,4,2,3,2,,,,4,2,10,1,5,6,1,5,,2,,2,2,,,,1,1,2,1,1,2,1,41,1961-07-16T00:00:00Z,1,14,13,2,1,6,9,8,9,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,6,4,4,1,1.03771758079529
27,1280,218,13,3,2,9,3,2,3,2,2,9,1,1,2,,2,4,,4,2,3,6,6,6,6,3,3,6,6,2,6,6,2,5,6,4,6,6,3,6,6,6,6,6,3,2,1,1,1,1,1,1,22,13,2,3,2,2,3,3,3,1,1,3,4,4,3,1,1,2,1,4,2,3,3,6,5,3,3,4,3,2,1,2,8,,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,4,2,4,2,3,3,3,3,2,,,,2,4,6,3,4,8,1,5,,1,4,3,2,,,,1,1,2,1,3,2,2,36,1966-12-31T00:00:00Z,2,5,4,5,9,1,2,8,9,1,3,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,6,4,1,0.78246146440506
28,1317,226,13,9,6,7,3,1,3,1,1,7,,7,2,,2,1,,1,3,4,2,4,6,6,2,9,2,2,4,3,6,4,4,6,2,6,6,4,2,6,6,6,6,4,6,1,2,2,2,1,1,22,13,1,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,6,3,1,1,1,2,8,,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,6,2,2,4,2,4,2,2,2,4,2,2,1,6,3,9,,,,11,5,4,1,5,,1,2,1,2,,,,1,1,1,1,1,1,2,31,1971-11-29T00:00:00Z,1,6,4,6,2,5,2,6,9,1,5,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,7,3,5,1,1.02533006668091
29,1318,226,13,10,13,6,3,2,1,8,1,99,99,99,9,9,9,9,9,9,3,4,8,8,8,6,6,6,6,6,4,6,6,3,4,6,6,6,8,6,4,6,8,6,8,6,99,2,1,1,1,1,1,49,26,9,2,2,9,9,9,3,9,9,9,9,9,3,2,3,5,,5,6,6,9,9,,,,,9,9,9,,9,,9,2,2,2,2,9,9,2,9,2,2,2,9,9,9,9,9,1,2,2,9,5,1,2,4,2,4,3,4,2,4,4,4,1,1,8,10,,,,3,1,8,2,,,,,,,,,,,,1,2,1,1,2,64,1938-09-27T00:00:00Z,1,6,4,6,8,3,1,6,9,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,6,3,5,1,0.746192216873169
30,1319,226,13,8,7,5,4,2,2,1,1,4,,4,2,,2,3,,3,2,3,3,4,6,3,3,3,3,3,3,4,3,4,4,6,2,6,6,3,3,6,6,6,6,3,4,1,1,1,1,1,1,22,13,2,3,2,3,3,3,3,2,2,3,3,3,3,2,3,5,5,5,4,5,3,6,6,6,6,6,1,2,8,,8,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,6,2,2,4,2,4,2,4,2,4,3,4,2,,,,10,6,2,2,1,6,1,2,7000,1,3,2,1,2,,,1,1,2,1,1,2,2,34,1968-07-18T00:00:00Z,1,14,13,2,9,8,2,3,5,1,5,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,1,2,8,4,4,1,1.02533006668091
31,1321,227,13,3,14,5,4,1,1,2,2,2,,2,1,,1,1,,1,3,5,3,4,3,2,3,2,4,4,3,3,4,2,5,3,2,4,5,5,4,3,4,3,4,3,2,3,3,2,2,2,1,22,13,2,2,3,1,3,2,2,4,1,3,3,3,2,3,2,4,1,1,1,1,1,4,1,1,2,3,1,2,1,1,1,1,2,2,2,2,1,1,5,2,2,2,2,2,2,2,2,2,2,1,1,1,1,5,2,3,4,2,5,3,3,2,5,2,4,2,,,,9,3,2,8,3,11,1,1,30000,1,7,1,1,1,,,1,1,2,1,2,2,1,28,1974-07-15T00:00:00Z,1,18,14,3,1,11,1,5,9,1,5,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,11,4,4,1,1.20403659343719
32,1324,227,13,9,7,6,3,2,2,1,1,6,,6,2,,2,3,,3,8,4,6,4,6,6,6,6,6,6,4,6,6,4,4,6,4,6,6,6,6,6,6,6,6,6,1,1,1,2,1,1,1,48,13,5,3,2,2,3,3,2,2,3,2,3,2,2,2,2,7,1,6,1,7,4,6,6,5,4,6,3,1,8,,8,,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,5,2,2,2,3,4,2,4,2,4,2,4,2,,,,1,4,10,11,5,3,2,,,,,,,,,,,,2,1,1,1,2,49,1954-02-18T00:00:00Z,5,9,6,3,9,4,2,4,9,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,7,3,5,1,1.0433714389801
